creator_id,creator_name,creator_group,notes,source,source_rows
25876945,极客湾GeekerWan,科技区,,manual_mid=candidate_mid_1,1
3766866,科技美学,科技区,,manual_mid=candidate_mid_1,2
16307541,Vivekatt,时尚区,,manual_mid=candidate_mid_1,3
1885078,nya酱的一生,时尚区,,manual_mid=candidate_mid_1,4
22344481,一花啦啦啦,时尚区,,manual_mid=candidate_mid_1,5
7875104,千户长生,时尚区,,manual_mid=candidate_mid_1,6
3331521,帅你一脸毛蛋,时尚区,,manual_mid=candidate_mid_1,7
2000318262,机智的党妹,时尚区,,manual_mid=candidate_mid_1,8
1532165,papi酱,生活区,,manual_mid=candidate_mid_1,11
284424,小熊绅士,生活区,,manual_mid=candidate_mid_1,13
1643718,山下智博,生活区,,manual_mid=candidate_mid_1,14
176037767,我是郭杰瑞,生活区,,manual_mid=candidate_mid_1,16
104207471,杰里德Jared,生活区,,manual_mid=candidate_mid_1,17
32820037,歪果仁研究协会,生活区,,manual_mid=candidate_mid_1,18
11278782,王咩阿,生活区,,manual_mid=candidate_mid_1,19
9008159,花花与三猫CatLive,生活区,,manual_mid=candidate_mid_1,20
946974,影视飓风,科技区,,manual_mid=candidate_mid_1,21
163637592,老师好我叫何同学,科技区,,manual_mid=candidate_mid_1,24
35359510,远古时代装机猿,科技区,,manual_mid=candidate_mid_1,25
326246517,zettaranc,时尚区,,manual_mid=candidate_mid_1,26
113362335,宝剑嫂,时尚区,,manual_mid=candidate_mid_1,28
16853896,Kei和Marin,生活区,,manual_mid=candidate_mid_1,30
10345615,Kevin英语情报局,生活区,,manual_mid=candidate_mid_1,31
285499073,东尼ookii,生活区,,manual_mid=candidate_mid_1,32
19642758,力元君,生活区,,manual_mid=candidate_mid_1,33
62540916,周六野Zoey,生活区,,manual_mid=candidate_mid_1,34
476330903,啊吗棕,生活区,,manual_mid=candidate_mid_1,35
5970160,小潮院长,生活区,,manual_mid=candidate_mid_1,36
13354765,徐大虾咯,生活区,,manual_mid=candidate_mid_1,38
11870568,拉宏桑,生活区,,manual_mid=candidate_mid_1,40
437316738,朱一旦的枯燥生活,生活区,,manual_mid=candidate_mid_1,41
76694169,波桑吃遍世界,生活区,,manual_mid=candidate_mid_1,44
1893045,狂风桑,生活区,,manual_mid=candidate_mid_1,45
6574487,纳豆奶奶,生活区,,manual_mid=candidate_mid_1,46
279583114,老坛胡说,生活区,,manual_mid=candidate_mid_1,47
72270557,芳斯塔芙,生活区,,manual_mid=candidate_mid_1,49
250111460,蜡笔和小勋,生活区,,manual_mid=candidate_mid_1,50
