series,creator_id,bvid,title,aid,cid,pages_count,page_index,part_name,page_duration,up_mid,up_name,pub_datetime,pub_date,duration_sec,expected_stage,actual_stage,stage_match,needs_review,subtitle_status,error,retrieved_at,subtitle_source,subtitle_url,subtitle_lang,subtitle_lang_doc,subtitle_type,subtitle_id,subtitle_sha1,subtitle_to_max_sec
fanshi_newanime,Creator_F,BV1QY4y1V7RY,大哥....这也能出续作啊？！2022年7月新番导视！【泛式】,642161225,736367343,1,0,7月导视_x264,670,63231,泛式,2022-06-02T18:42:43+08:00,2022-06-02,670,S0,S0,True,False,OK,,2026-01-03T11:10:05,asr_faster_whisper,,zh,ASR,asr,,12151d59c0fad7a24e6a11fd02599fc67b23cf89,667.57
fanshi_newanime,Creator_F,BV1rW4y18743,这是...我可以看的吗？！2022年10月新番导视！【泛式】,942380348,816198239,1,0,这是...我可以看的吗？！2022年10月新番导视！【泛式】,740,63231,泛式,2022-08-27T19:24:03+08:00,2022-08-27,740,S0,S0,True,False,OK,,2026-01-03T11:10:06,asr_faster_whisper,,zh,ASR,asr,,13c36fecc4cd752fbebe71b06d0833a1b36bc397,737.61
fanshi_newanime,Creator_F,BV1Py4y1Z7p6,好起来了！求求你回来看吧！2023年4月新番导视！【泛式】,780118872,1096722153,1,0,好起来了！求求你回来看吧！2023年4月新番导视！【泛式】,860,63231,泛式,2023-02-25T18:15:14+08:00,2023-02-25,860,S1,S1,True,False,OK,,2026-01-03T11:10:06,asr_faster_whisper,,zh,ASR,asr,,87b67754457aab8db3259b6231d85107a9ce4516,857.17
fanshi_newanime,Creator_F,BV17z4y1M76T,好好好！大的真要来了！2023年10月新番导视！【泛式】,575275418,1249834679,1,0,好好好！大的真要来了！2023年10月新番导视！【泛式】,965,63231,泛式,2023-08-28T20:53:42+08:00,2023-08-28,965,S1,S1,True,False,OK,,2026-01-03T11:10:06,asr_faster_whisper,,zh,ASR,asr,,6ef0273e8beb4237175092cb929299c742d7a602,960.98
fanshi_newanime,Creator_F,BV1Yi421v7uE,该来的都来了！不该来的也... 2024年7月新番导视！【泛式】,1455463271,1569072047,1,0,该来的都来了！不该来的也... 2024年7月新番导视！【泛式】,1085,63231,泛式,2024-06-02T19:53:32+08:00,2024-06-02,1085,S2,S2,True,False,OK,,2026-01-03T11:10:07,asr_faster_whisper,,zh,ASR,asr,,bd6c705adfce97b83e73f4fb88ddf1216fe86d3b,1080.88
fanshi_newanime,Creator_F,BV1yUp4eeEQ2,看完PV大伙都乐了！2024年10月新番导视！【泛式】,113095783481662,25774981213,1,0,看完PV大伙都乐了！2024年10月新番导视！【泛式】,863,63231,泛式,2024-09-07T18:30:05+08:00,2024-09-07,863,S2,S2,True,False,OK,,2026-01-03T11:10:07,asr_faster_whisper,,zh,ASR,asr,,6c36ee8b910d16f077b135739ac2c9762465d5b8,859.85
shuianxiaoxi,Creator_M,BV15v411T7ym,【睡前消息314】“精神鸦片”问题，影响全人类的未来,249815751,389666219,1,0,20210815 第三百一十四集（成片版）,1075,316568752,马督工,2021-08-15T18:58:34+08:00,2021-08-15,1075,S0,S0,True,False,OK,,2026-01-03T11:10:08,asr_faster_whisper,,zh,ASR,asr,,f3b189d8fd57a84fdb239769a5b0f26664d61e7f,1048.63
shuianxiaoxi,Creator_M,BV19W4y1h78S,【睡前消息471】“滚蛋疗法”，从中国人会养鸡那年说起.,942095945,803648749,1,0,20220814 471期睡前,867,316568752,马督工,2022-08-14T22:15:45+08:00,2022-08-14,867,S0,S0,True,False,OK,,2026-01-03T11:10:08,asr_faster_whisper,,zh,ASR,asr,,516d4a2743418c7588c7083f20635f7b0dff0fc4,846.92
shuianxiaoxi,Creator_M,BV1ED4y1n7MD,【睡前消息541】社会化抚养概论,735654338,975153366,1,0,,4814,316568752,马督工,2023-01-22T19:30:00+08:00,2023-01-22,4814,S1,S1,True,False,OK,,2026-01-03T11:10:08,asr_faster_whisper,,zh,ASR,asr,,228a36a710b3b749b7bec851ef9a6d29f731e8f9,4727.62
shuianxiaoxi,Creator_M,BV1Tm4y1m7ty,【睡前消息574】ChatGPT是做题家 中国欠他一套模拟卷,697310574,1089060448,1,0,,1599,316568752,马督工,2023-04-09T20:52:07+08:00,2023-04-09,1599,S1,S1,True,False,OK,,2026-01-03T11:10:09,asr_faster_whisper,,zh,ASR,asr,,3fb54a4358f6211cc1eab7fdc1d2804c1484d7fe,1593.96
shuianxiaoxi,Creator_M,BV1Qb4y1M7TB,【睡前消息672】马督工的老朋友，又少了一批,621115896,1337346289,1,0,【睡前消息672】马督工的老朋友，又少了一批,1186,316568752,马督工,2023-11-19T18:13:23+08:00,2023-11-19,1186,S2,S2,True,False,OK,,2026-01-03T11:10:09,asr_faster_whisper,,zh,ASR,asr,,42355b6d9a1d93dccaa6d81794478d9a5c77e4d1,1181.47
shuianxiaoxi,Creator_M,BV1tWvDBkEbb,【睡前消息1000】身后是一千，小目标是一万,115820185327715,35126969291,1,0,【睡前消息1000】身后是一千，小目标是一万,2067,316568752,马督工,2026-01-01T22:02:14+08:00,2026-01-01,2067,S2,S2,True,False,OK,,2026-01-03T11:10:09,asr_faster_whisper,,zh,ASR,asr,,53c5d63b7e8129607592b14d6c194727240752da,1990.7
